"title","url","classification"
"Picking Cotton","https://api.nga.gov/iiif/06c79e5b-bc00-4fd7-b0ef-98ea3d8fe988/full/!200,200/0/default.jpg","Painting"
"Still Life","https://api.nga.gov/iiif/06ef1671-16e0-4706-b7c7-7cb85e4d9002/full/!200,200/0/default.jpg","Painting"
"William Henry Cavendish Bentinck, 3rd Duke of Portland","https://api.nga.gov/iiif/06f9b2d6-4140-4886-bb69-b4374d0fb01c/full/!200,200/0/default.jpg","Painting"
"Balm","https://api.nga.gov/iiif/077b1727-d8ba-4171-bc61-0ec7719752bd/full/!200,200/0/default.jpg","Painting"
"The Church of Saint-Séverin","https://api.nga.gov/iiif/07541830-c3df-458a-bb12-6bb642692ba4/full/!200,200/0/default.jpg","Painting"
"George Washington","https://api.nga.gov/iiif/07060ee8-5641-4876-a633-5fd0ac616a35/full/!200,200/0/default.jpg","Painting"
"The Saint Anne Altarpiece: Saint Anne with the Virgin and Child [middle panel]","https://api.nga.gov/iiif/072919d5-cf19-4605-8c9c-a85267f9ca96/full/!200,200/0/default.jpg","Painting"
"Seashore with Fishermen","https://api.nga.gov/iiif/0732c571-4c5c-484d-bc4c-10c945aa86f6/full/!200,200/0/default.jpg","Painting"
"Caroline Mortier de Trévise","https://api.nga.gov/iiif/07666a84-d98a-4e35-8bf1-bc324b33b7a6/full/!200,200/0/default.jpg","Painting"
"The Moored Boatman: Souvenir of an Italian Lake","https://api.nga.gov/iiif/0769e5d6-dcd0-4595-9876-3f48d5305a06/full/!200,200/0/default.jpg","Painting"
"In the Land of Promise, Castle Garden","https://api.nga.gov/iiif/0794483c-b8c5-462c-b2a3-363696c7bad4/full/!200,200/0/default.jpg","Painting"
"Self-Portrait","https://api.nga.gov/iiif/0796fdf1-92f3-49b1-97ac-a431410f8276/full/!200,200/0/default.jpg","Painting"
"There Were No Flowers Tonight","https://api.nga.gov/iiif/0798c34d-7c48-46e9-9814-a62b10603fcd/full/!200,200/0/default.jpg","Painting"
"Flecks of Foam","https://api.nga.gov/iiif/07b19546-3586-450f-9a4b-4759fc0592fe/full/!200,200/0/default.jpg","Painting"
"Study for ""Breton Women at a Pardon""","https://api.nga.gov/iiif/075b8c2f-2dbd-4ceb-b362-c9af9c94a548/full/!200,200/0/default.jpg","Painting"
"Stephen Van Rensselaer III","https://api.nga.gov/iiif/075d4a9e-2a3a-4336-bd74-84b7e1c357b1/full/!200,200/0/default.jpg","Painting"
"Marina Piccola, Capri","https://api.nga.gov/iiif/07875217-5820-4a95-afbe-8056a8b60742/full/!200,200/0/default.jpg","Painting"
"The Port of La Ciotat","https://api.nga.gov/iiif/07f47db5-8640-484f-9906-24a183b5f952/full/!200,200/0/default.jpg","Painting"
"Christ in Limbo","https://api.nga.gov/iiif/082b240a-a316-4c5d-bd87-7711290d7d3d/full/!200,200/0/default.jpg","Painting"
"The Raising of Lazarus","https://api.nga.gov/iiif/07fbd725-cfa8-484b-b4ff-ca45d60dc2b2/full/!200,200/0/default.jpg","Painting"
"Three Micmac Indians","https://api.nga.gov/iiif/084450ec-ad00-4c87-8509-66df3dce8cb2/full/!200,200/0/default.jpg","Painting"
