,title,image_id,medium_display
135,Sound of Silence,c4fdebca-66d6-e271-7754-a8c5f3562ce6,Color lithograph on white wove paper
136,Sound of Silence,db517198-c3c5-48ee-5e06-3162b024f3f3,Graphite on tan wove paper
137,Untitled (Head of a Woman III),b4e6c96d-16b0-b45e-37e2-b5f05c3b72ae,Etching in brown on white wove paper
138,Untitled (Head of a Man in Profile),b266c387-7dfa-775f-7980-aa589f4f4ed5,Etching in brown on white wove paper
139,Untitled (Bearded Man),954acfc9-0bb5-4003-a61c-054dbdf72ced,Linocut in black on cream wove paper
140,Untitled (Man with Pointing Finger),499e2545-b191-317d-48e6-f5287e52a850,Linocut in black on cream Japanese paper
141,I Had a Dream,d6758369-f935-c315-89b7-1f7dc03a4401,Lithograph in black on tan wove paper
142,Sound of Silence,a862a8bd-cd2a-31b8-a7ff-60a2f582c881,Color lithograph on white wove paper
143,Sound of Silence,c5416616-ed66-16ac-62b2-9d8c970d4b0b,Lithograph in warm and cool black on tan wove paper
144,Sound of Silence,001671b8-a620-67c2-8da6-df2ab185a037,Lithograph in black on tan wove paper
145,Sound of Silence,4aba835a-dcba-2a26-2040-f79f4d706b6a,Lithograph in black on tan wove paper
146,Sound of Silence,3708f42e-2131-6419-e0e3-b025746192ee,Color lithograph on gray wove paper
147,Sound of Silence,b6aa283c-9450-19ff-994c-adbee0fb615e,Color lithograph on white wove paper
148,Sound of Silence,96acdce4-5b95-b012-3ff7-8ec6b40fbd8d,Color lithograph on gray wove paper
149,Sound of Silence,bb3f962a-9a08-596c-3bc7-fd76bf8e3a0f,Color lithograph on gray wove paper
150,Sound of Silence,b493a1d9-8c24-375d-54ee-f31bc17ba916,Lithograph in warm black on gray wove paper
151,Sound of Silence,7d185ec5-6e82-9862-d0cf-5aaf879a2644,Lithograph in black on white wove paper
152,Sound of Silence,2d9983ee-7239-39aa-a1be-ebc18e6460a9,Lithograph in black on gray wove paper
153,Missouri C,091f0869-b66b-7456-4add-8e6273f76b1e,Etching in black on cream wove paper
154,Cat's Cradle,920205b8-d41a-d333-d214-4663f6416203,Etching in black on cream wove paper
155,Gideon,9f061aea-ca9e-4808-a07a-389420a5e8ec,Lithograph in black on ivory wove paper
156,Frederick Douglass,0e0bd8aa-79f3-bbef-34ed-d83dc085d1a4,Lithograph in black on cream wove paper
157,We Have Been Believers,cf0793a3-3bb0-0a23-06fe-7715268e9dc3,Lithograph in black on cream wove paper
158,Wanted Poster Series #12a,2115c2d8-05d3-bc6f-1f06-052b689427e3,Color lithograph on white wove paper
159,Wanted Poster Series #12,08ebebe2-4e0f-b24f-ade1-5b7241f5a939,Lithograph in brown on white wove paper
160,Wanted Poster Series #11a (negative image),c33cd2bc-3fd0-bede-f9ce-09a8924c1bde,Lithograph in brown on buff wove paper
161,Wanted Poster Series #11 (positive image),4580bea0-e6a6-2b77-efe1-fef6b46690bd,Lithograph in brown on buff wove paper
162,Harvest,14d16691-3489-e6fb-572b-d888f66c4769,Lithograph in black on tan wove paper
163,Sound of Silence,a4e1d24f-a92d-2d15-8d4e-dfc5b8b6394b,Lithograph in warm and cool black on gray wove paper
164,Love Letter III,51c1485c-e687-c6f1-83e6-7c9ddafa18a5,Color lithograph cream wove paper
165,Love Letter II,bd63f8e5-ee46-ba44-f402-0493299b3908,Color lithograph on cream wove paper
166,Love Letter I,5eec827a-41b5-6911-cc19-d52b0005fb38,Color lithograph on buff wove paper
167,I Have a Dream,3a60e6bc-51ad-bb85-5f16-663735122e8c,Lithograph in brown on cream wove paper
168,Prophet I,7486d031-c176-9de5-3fa7-9d497408f72d,Color lithograph on white wove paper
169,Wanted Poster Series #15 or Hasty B,63ed9292-20a8-9815-d29b-17a5af3ee7ed,Lithograph in brown on cream wove paper
170,Wanted Poster Series #14a,713483bb-55a2-fd5a-92f2-b2b119be886f,Lithograph in yellow and brown on white wove paper
171,Wanted Poster Series #14,6e7a09f1-c8ab-bb50-20df-7c20facc2b87,Color lithograph on white wove paper
172,Solid as a Rock (My God is Rock),c6f9f676-d2f4-1ad8-290e-cd173e5f1a1e,Linocut in black ink on cream laid Japanese paper
173,Cabeza (or Youth),50d08f7d-964f-e7a3-346f-dec7813e9052,Lithograph in black on cream wove paper
174,The Worker,f316df03-44a5-007c-a39b-643537d0b3c7,Brush and pen and black and brown inks on illustration board
175,Sketchbook,c30126e9-55f1-3e3e-b017-15c8de78e0fc,"Charcoal, pastel, ink, graphite, pen and inks and watercolor on ivory wove paper"
176,"This, My Brother",b29b7f71-2098-9fc7-16cf-05ff99f0afdc,Oil on canvas
177,Portrait of a Woman,937b6ca0-8224-f17a-2991-3cf539b1ba8b,"Charcoal, with smudging, erasing and scratching, on tan wove paper, laid down"
178,Harvest Talk,80fa6e5f-e02a-57b6-c007-8359e750d36d,"Charcoal, Wolff's carbon drawing pencil, and graphite, with stumping and erasing on ivory wood pulp laminate board"
179,Mom in Wig,a8f09097-4abc-93c2-4d17-1ec5b30b8410,Chromogenic print; edition 1/5
180,"Catch 22, from the series Pretend You're Actually Alive",456fd97b-0403-06f2-965d-cb8b630b5abc,Chromogenic print
181,Come Let's Talk,3f52f29a-9d6a-33a4-8038-486eca4edc20,Printed matter
182,Brother in Providence from the series Pretend You're Actually Alive,01f92520-6df9-fc44-cadc-184da75303fc,Gelatin silver print
183,Tina and me on Bed from the series Pretend You're Actually Alive,345fe6ea-5cdd-d935-8c2c-ea44f07cdff7,"Chromogenic print, edition 4/5 plus 2 artist's prints"
184,Grama and Me in Hospital from the series Pretend You're Actually Alive,d79850b8-2b75-a509-14d4-9abcf70ce7b6,"Chromogenic print, edition 2/5, plus two artist's prints"
185,Mom in Seventeen Magazine from the series Pretend You're Actually Alive,afb7e14e-3653-5974-fd46-91f6f9a40414,Printed matter
186,Mother's Thoughts on Modelling from the series Prentend You're Actually Alive,7f6b7e19-fdf0-c8e5-47f6-aa19fa299222,Printed matter
